181721	1.1.1.-
181928	1.10.2.-
181722	1.1.1.1
181722	1.2.1.1
181929	4.1.3.6
181724	1.2.1.16
179003	1.2.1.41
179004	2.7.7.18
179009	3.4.21.102
179211	2.7.13.3
181150	1.13.11.39
179203	4.1.3.1
179206	3.6.3.31
179931	2.7.7.7
179010	3.6.1.-
179932	3.6.3.-
181155	3.6.3.17
179208	2.1.3.3
179934	6.1.1.15
181726	1.1.1.25
181157	3.6.3.17
181725	1.1.99.1
181156	3.6.3.17
179936	4.4.1.5
179936	5.1.99.1
181728	3.6.3.-
179937	3.-.-.-
181727	1.1.1.100
179938	6.3.4.15
181920	4.2.1.1
179939	1.6.5.3
181731	1.6.5.5
181935	3.1.1.3
181734	1.14.-.-
181735	2.7.2.15
181735	2.7.2.1
179016	2.7.1.35
179017	4.2.1.1
179014	1.2.1.27
179222	2.1.1.61
179018	2.4.-.-
179018	3.2.1.-
179220	2.3.1.-
181140	3.1.3.1
179020	3.6.5.4
181143	3.6.3.32
181143	3.6.3.21
179923	4.99.1.1
179217	2.7.3.-
181141	3.6.3.24
179021	5.4.99.5
179921	6.3.5.3
181145	2.7.7.7
179925	3.1.3.25
181931	2.8.3.16
181149	2.5.1.18
181949	5.1.3.2
181743	3.2.2.9
181743	3.2.2.16
181745	2.1.1.-
181945	1.1.1.31
181945	1.1.-.-
181946	1.17.1.2
181947	5.3.1.22
181742	6.3.5.2
181742	6.3.4.1
179230	3.6.3.24
179233	3.6.3.32
179026	1.4.1.2
179028	2.1.2.3
179028	3.5.4.10
181131	3.1.26.5
179033	6.2.1.1
181130	3.1.26.5
179229	3.1.3.1
179223	2.1.1.-
179950	1.6.5.3
179031	3.4.24.-
179951	1.6.5.3
179030	2.1.1.-
179952	1.6.5.3
181138	1.1.1.100
181748	1.11.1.6
181137	1.2.1.3
181755	2.7.7.22
181753	3.-.-.-
181753	3.4.11.19
181956	2.4.1.-
181751	1.1.1.205
179243	4.1.3.27
179039	4.1.2.-
179039	2.2.1.2
179036	2.7.3.-
179037	6.1.1.4
181122	3.5.1.18
179046	3.6.3.14
179944	1.6.5.3
179945	1.6.5.3
179045	3.6.3.14
181120	5.4.99.12
181120	4.2.1.70
179044	3.6.3.14
179942	1.6.5.3
179043	3.6.3.14
179238	2.1.1.-
179943	1.6.5.3
179940	1.6.5.3
179041	3.6.1.-
179941	1.6.5.3
179234	3.6.3.32
181127	2.7.2.8
181126	3.1.3.5
181126	3.1.3.18
179948	1.6.5.3
181950	4.1.2.17
181125	1.1.1.85
179949	1.6.99.5
179949	1.6.5.3
181124	2.3.1.117
179946	1.6.5.3
179947	1.6.99.5
179947	1.6.5.3
179250	2.3.1.-
179254	6.6.1.1
179254	3.6.3.-
181960	3.6.3.14
181192	3.6.3.32
181192	3.6.3.21
179245	2.3.3.13
181194	1.1.99.1
179247	3.6.1.13
179249	2.5.1.18
181197	3.6.3.21
179261	1.3.3.3
179260	2.3.1.-
181191	1.5.1.12
181190	4.4.1.5
179264	2.1.1.-
181979	1.1.1.44
181978	3.6.3.31
179259	1.14.11.16
181181	1.1.1.3
179256	3.6.1.-
179257	2.7.7.25
179274	3.1.1.29
181180	1.6.1.2
179713	1.14.13.-
179277	2.7.6.1
179714	3.6.1.19
179271	4.2.1.-
179270	2.4.2.7
179272	4.2.1.-
179719	1.1.1.1
181702	2.4.1.-
181701	2.4.1.-
179715	5.1.3.2
181989	6.3.5.-
181989	6.3.5.6
181989	6.3.5.7
179717	2.1.1.64
179718	3.4.13.9
181985	2.4.1.-
179918	6.3.5.3
179917	6.3.5.3
181988	4.1.1.20
181988	4.1.1.17
181703	4.2.1.47
181178	1.6.1.2
181178	1.6.1.1
179914	4.1.2.20
181704	1.1.1.271
181179	1.6.1.2
181705	1.1.1.271
179916	6.3.2.6
181984	2.4.1.-
181174	3.5.1.46
179910	5.1.3.1
179912	4.4.1.5
181177	1.9.3.1
179911	4.3.2.2
179267	1.10.2.2
179268	1.10.2.2
179269	1.10.2.2
181173	3.5.1.46
179702	3.4.21.-
179703	3.5.4.19
179286	2.7.13.3
179285	6.1.1.10
179282	2.4.99.-
179280	2.1.1.61
181712	5.1.3.9
181711	5.1.-.-
179708	3.4.16.4
179709	6.1.1.3
179707	3.4.16.4
179704	3.5.4.16
179909	2.3.1.-
179908	1.6.5.5
181718	3.6.3.-
179907	2.3.1.179
181719	3.6.3.32
179906	2.3.1.179
181716	3.6.3.24
181169	3.5.1.94
181169	4.1.3.27
181717	4.2.1.52
181167	5.1.1.1
179903	5.1.3.3
181715	3.1.3.1
181168	1.1.1.215
179902	2.7.1.45
181990	4.2.1.1
179901	5.3.1.5
179002	2.7.2.11
179900	3.-.-.-
181164	3.5.2.10
181160	1.7.1.1
179279	3.4.13.9
179096	1.6.5.5
179499	6.3.5.9
179499	6.3.1.-
179498	2.1.1.107
179090	4.1.1.21
179090	5.4.99.18
179739	3.5.1.46
179737	1.17.4.1
